Date,Count,Distance
6/4/16 4:00,2,1314
6/4/16 5:00,1,8459
6/4/16 6:00,1,443
6/4/16 8:00,1,568
6/4/16 15:00,2,4841
6/5/16 3:00,1,2171
6/5/16 4:00,1,10260
6/5/16 7:00,2,15062
6/5/16 20:00,1,12169
6/5/16 21:00,2,12149
6/5/16 22:00,2,6700
6/5/16 23:00,3,7532
6/6/16 0:00,1,9771
6/6/16 1:00,1,3468
6/6/16 2:00,1,5872
6/6/16 13:00,1,857
6/6/16 15:00,1,1259
6/6/16 16:00,4,11003
6/6/16 17:00,2,12378
6/6/16 18:00,3,13549
6/6/16 19:00,1,2694
6/6/16 20:00,3,15204
6/6/16 23:00,1,12648
6/7/16 0:00,5,33963
6/7/16 1:00,1,1957
6/7/16 2:00,1,11582
6/7/16 3:00,1,921
6/7/16 12:00,1,3160
6/7/16 13:00,2,12295
6/7/16 14:00,1,6711
6/7/16 15:00,1,53655
6/7/16 19:00,1,4753
6/7/16 20:00,3,16432
6/7/16 21:00,3,11879
6/7/16 22:00,1,4003
6/7/16 23:00,1,2180
6/8/16 0:00,3,19654
6/8/16 1:00,1,2013
6/8/16 2:00,1,4385
6/8/16 3:00,3,27979
6/8/16 12:00,2,8106
6/8/16 13:00,1,9791
6/8/16 14:00,5,27029
6/8/16 15:00,2,12447
6/8/16 16:00,2,21391
6/8/16 18:00,1,6080
6/8/16 19:00,1,6108
6/8/16 20:00,4,19606
6/8/16 21:00,4,22381
6/8/16 22:00,2,5470
6/8/16 23:00,3,16885
6/9/16 0:00,5,23160
6/9/16 1:00,3,16953
6/9/16 2:00,2,7056
6/9/16 4:00,2,18668
6/9/16 12:00,2,9177
6/9/16 13:00,5,47971
6/9/16 14:00,2,7391
6/9/16 15:00,3,12985
6/9/16 16:00,5,23221
6/9/16 17:00,8,23955
6/9/16 18:00,3,21500
6/9/16 19:00,2,13169
6/9/16 20:00,3,21970
6/9/16 22:00,2,7112
6/9/16 23:00,8,23681
6/10/16 0:00,5,15734
6/10/16 1:00,8,48924
6/10/16 2:00,3,12814
6/10/16 12:00,1,8669
6/10/16 13:00,5,29424
6/10/16 14:00,1,3689
6/10/16 15:00,2,18952
6/10/16 17:00,3,6375
6/10/16 20:00,3,7435
6/10/16 21:00,3,26906
6/10/16 22:00,4,7885
6/10/16 23:00,7,44478
6/11/16 0:00,7,16488
6/11/16 1:00,6,26124
6/11/16 2:00,3,9474
6/11/16 3:00,4,30426
6/11/16 4:00,2,10654
6/11/16 5:00,6,31314
6/11/16 6:00,4,28625
6/11/16 7:00,1,3459
6/11/16 8:00,1,10972
6/11/16 15:00,2,11140
6/11/16 16:00,2,5698
6/11/16 17:00,3,9993
6/11/16 18:00,2,3841
6/11/16 19:00,1,2640
6/11/16 20:00,1,3039
6/11/16 21:00,3,25679
6/11/16 22:00,2,29806
6/11/16 23:00,1,2529
6/12/16 0:00,6,20662
6/12/16 1:00,3,18282
