Date,Count,Distance
5/29/16 0:00,7,15625
6/5/16 0:00,239,1298717
6/12/16 0:00,861,4461872
6/19/16 0:00,1679,10533670
6/26/16 0:00,1997,13765377
7/3/16 0:00,2883,19833852
7/10/16 0:00,2651,19706908
7/17/16 0:00,3265,25326811
7/24/16 0:00,3835,33967678
7/31/16 0:00,4156,35247614
8/7/16 0:00,7594,62752869
8/14/16 0:00,8574,72580695
8/21/16 0:00,12009,92289146
8/28/16 0:00,15348,121954619
9/4/16 0:00,19030,152048924
9/11/16 0:00,19430,198486162
9/18/16 0:00,25345,304133972
9/25/16 0:00,34761,305351956
10/2/16 0:00,46776,401942708
10/9/16 0:00,43518,373308580
10/16/16 0:00,37351,354017212
10/23/16 0:00,40014,359990306
10/30/16 0:00,41319,346452192
11/6/16 0:00,44791,379829997
11/13/16 0:00,40720,340061375
11/20/16 0:00,33600,291498034
11/27/16 0:00,34816,298245637
12/4/16 0:00,41854,344408892
12/11/16 0:00,41834,366922375
12/18/16 0:00,30882,298588513
12/25/16 0:00,25014,239384021
1/1/17 0:00,39513,358885555
1/8/17 0:00,41645,359431387
1/15/17 0:00,48704,435079688
1/22/17 0:00,47378,410541205
1/29/17 0:00,49244,417999475
2/5/17 0:00,18420,159023901
